,month_year,inflation_rate
0,2013-01,7.0
1,2013-02,6.9
2,2013-03,6.5
3,2013-04,6.0
4,2013-05,6.0
5,2013-06,6.0
6,2013-07,5.5
7,2013-08,5.0
8,2013-09,5.0
9,2013-10,5.0
10,2013-11,4.7
11,2013-12,4.8
12,2014-01,5.0
13,2014-02,5.0
14,2014-03,6.5
15,2014-04,6.8
16,2014-05,7.0
17,2014-06,7.2
18,2014-07,7.3
19,2014-08,7.5
20,2014-09,7.2
21,2014-10,7.5
22,2014-11,7.3
23,2014-12,7.0
24,2015-01,7.0
25,2015-02,6.0
26,2015-03,5.0
27,2015-04,4.0
28,2015-05,3.9
29,2015-06,3.9
30,2015-07,3.8
31,2015-08,8.25
32,2015-09,10.0
33,2015-10,11.0
34,2015-11,13.0
35,2015-12,14.0
36,2016-01,15.0
37,2016-02,15.5
38,2016-03,16.0
39,2016-04,16.5
40,2016-05,17.0
41,2016-06,17.2
42,2016-07,17.5
43,2016-08,17.0
44,2016-09,13.0
45,2016-10,10.0
46,2016-11,8.25
47,2016-12,8.0
48,2017-01,7.5
49,2017-02,7.3
50,2017-03,7.2
51,2017-04,7.1
52,2017-05,7.05
53,2017-06,7.0
54,2017-07,7.2
55,2017-08,7.5
56,2017-09,7.4
57,2017-10,7.3
58,2017-11,7.25
59,2017-12,7.0
60,2018-01,6.85
61,2018-02,7.0
62,2018-03,6.9
63,2018-04,6.8
64,2018-05,6.5
65,2018-06,6.25
66,2018-07,6.25
67,2018-08,6.5
68,2018-09,5.6
69,2018-10,5.7
70,2018-11,5.6
71,2018-12,5.5
72,2019-01,5.2
73,2019-02,5.0
74,2019-03,4.95
75,2019-04,4.9
76,2019-05,4.95
77,2019-06,5.0
78,2019-07,5.7
79,2019-08,5.8
80,2019-09,5.7
81,2019-10,5.65
82,2019-11,5.7
83,2019-12,6.0
84,2020-01,6.15
85,2020-02,6.25
86,2020-03,6.8
87,2020-04,6.9
88,2020-05,7.0
89,2020-06,7.1
90,2020-07,7.0
91,2020-08,6.9
92,2020-09,7.0
93,2020-10,7.2
94,2020-11,7.3
95,2020-12,7.5
96,2021-01,7.4
97,2021-02,7.3
98,2021-03,7.0
99,2021-04,7.0
100,2021-05,7.1
101,2021-06,7.5
102,2021-07,8.0
103,2021-08,8.25
104,2021-09,8.2
105,2021-10,8.1
106,2021-11,8.05
107,2021-12,8.0
108,2022-01,8.09
109,2022-02,9.0
110,2022-03,10.0
111,2022-04,13.5
112,2022-05,14.0
113,2022-06,14.0
114,2022-07,14.5
115,2022-08,15.0
116,2022-09,16.1
117,2022-10,17.7
118,2022-11,20.0
119,2022-12,20.3
120,2023-01,20.7
121,2023-02,21.3
122,2023-03,18.1
123,2023-04,16.8
124,2023-05,15.9
125,2023-06,14.6
126,2023-07,14
127,2023-08,13.1
128,2023-09,11.8
129,2023-10,10.8
130,2023-11,10.3
131,2023-12,9.8
132,2024-01,9.5
133,2024-02,9.3
134,2024-03,9.1
135,2024-04,8.7
136,2024-05,8.5
137,2024-06,8.4
